epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.479,1.24424,1.50263,1.3368,0.81209,0.79122,0.81494,0.58229,1.15822,1.10537,1.34574,0.070004,0.00333289,0.00333289
2,409.109,1.14281,1.11537,1.20506,0.68165,0.77395,0.69738,0.49045,1.29014,1.63374,1.4915,0.039564,0.00622625,0.00622625
3,612.461,1.16956,1.13106,1.22626,0.70157,0.71017,0.72064,0.50402,1.34178,1.47972,1.53246,0.00868404,0.00867962,0.00867962
4,819.49,1.19957,1.12658,1.25723,0.70453,0.74442,0.71525,0.4994,1.4022,1.72988,1.57523,0.00802,0.00802,0.00802
5,1020.71,1.1501,1.04859,1.22043,0.60603,0.72709,0.60599,0.45403,1.25097,5.3732,1.45009,0.00736,0.00736,0.00736
6,1217.02,1.08401,0.90805,1.21641,0.65457,0.72765,0.63721,0.46462,1.31514,2.09406,1.54809,0.0067,0.0067,0.0067
7,1414.3,1.04853,0.8672,1.19343,0.69282,0.76427,0.72196,0.52285,1.25889,1.53243,1.46031,0.00604,0.00604,0.00604
8,1616.77,1.01116,0.79453,1.16764,0.67737,0.66391,0.62781,0.46611,1.28023,1.74803,1.50263,0.00538,0.00538,0.00538
9,1819.43,0.97031,0.74646,1.13655,0.67076,0.68416,0.62425,0.46173,1.54565,2.03325,1.79024,0.00472,0.00472,0.00472
10,2022.43,0.94914,0.71411,1.12315,0.75507,0.75185,0.74231,0.55231,1.25314,1.62189,1.4821,0.00406,0.00406,0.00406
11,2226.96,0.91534,0.68016,1.10562,0.81039,0.76954,0.79389,0.59457,1.21394,1.38494,1.49207,0.0034,0.0034,0.0034
12,2427.23,0.88847,0.64106,1.08769,0.78178,0.76737,0.78833,0.58124,1.18663,1.26135,1.51629,0.00274,0.00274,0.00274
13,2623.08,0.86603,0.61875,1.0726,0.77707,0.76046,0.75327,0.56245,1.22918,1.45652,1.5101,0.00208,0.00208,0.00208
14,2818.06,0.83526,0.57955,1.05368,0.81539,0.80266,0.80472,0.59753,1.20864,1.41242,1.50673,0.00142,0.00142,0.00142
15,3011.53,0.81173,0.55988,1.04182,0.81565,0.81846,0.81212,0.60875,1.14173,1.46358,1.47208,0.00076,0.00076,0.00076
